"ID","Process ID","Process Name","Host Name","thread Domain:Push/Pop_Range:PL_Type:PL_Value:CLR_Type:Color:Msg_Type:Msg","Id:Domain:Start/Stop_Range:PL_Type:PL_Value:CLR_Type:Color:Msg_Type:Msg","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","435489","example-noopt.out","127.0.0.1","435489  ""<default domain>:compute:none:none:none:none:none:none"" ","","Mult_1(Params *, unsigned long *, unsigned long *, unsigned long *)","1","7","(256, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","sm__warps_active.avg.pct","","n/a"
"1","435489","example-noopt.out","127.0.0.1","435489  ""<default domain>:compute:none:none:none:none:none:none"" ","","Mult_4(Params *, unsigned long *, unsigned long *, unsigned long *)","1","7","(256, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","sm__warps_active.avg.pct","","n/a"
"2","435489","example-noopt.out","127.0.0.1","435489  ""<default domain>:compute:none:none:none:none:none:none"" ","","Add_2(Params *, unsigned long *, unsigned long *, unsigned long *)","1","7","(256, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","sm__warps_active.avg.pct","","n/a"
"3","435489","example-noopt.out","127.0.0.1","435489  ""<default domain>:compute:none:none:none:none:none:none"" ","","Mult_5(Params *, unsigned long *, unsigned long *, unsigned long *)","1","7","(256, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","sm__warps_active.avg.pct","","n/a"
"4","435489","example-noopt.out","127.0.0.1","435489  ""<default domain>:compute:none:none:none:none:none:none"" ","","Mult_6(Params *, unsigned long *, unsigned long *, unsigned long *, unsigned long *)","1","7","(256, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","sm__warps_active.avg.pct","","n/a"
"5","435489","example-noopt.out","127.0.0.1","435489  ""<default domain>:compute:none:none:none:none:none:none"" ","","iNTTPhase2_7(Params *, unsigned long *, unsigned long *)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","sm__warps_active.avg.pct","","n/a"
"6","435489","example-noopt.out","127.0.0.1","435489  ""<default domain>:compute:none:none:none:none:none:none"" ","","iNTTPhase1_8(Params *, unsigned long *, unsigned long *)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","sm__warps_active.avg.pct","","n/a"
"7","435489","example-noopt.out","127.0.0.1","435489  ""<default domain>:compute:none:none:none:none:none:none"" ","","MultConst_9(Params *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *)","1","7","(256, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","sm__warps_active.avg.pct","","n/a"
"8","435489","example-noopt.out","127.0.0.1","435489  ""<default domain>:compute:none:none:none:none:none:none"" ","","BConv_10(Params *, unsigned long *, unsigned long *, const unsigned long *, const DModulus *, unsigned long, const DModulus *, unsigned long, unsigned long, unsigned long)","1","7","(128, 1, 1)","(7680, 1, 1)","0","8.9","Command line profiler metrics","sm__warps_active.avg.pct","","n/a"
"9","435489","example-noopt.out","127.0.0.1","435489  ""<default domain>:compute:none:none:none:none:none:none"" ","","NTTPhase1_11(Params *, unsigned long *, unsigned long *, const unsigned long *, const unsigned long *, const DModulus *)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","sm__warps_active.avg.pct","","n/a"
